00:01:26 |j| Slork
00:02:20 |l| Slork
00:07:42 |j|~Ransei
15:07:30 |c| ggdaca|cuz im going to wonder trade it
15:07:32 |c|+Flurbel|haha
15:07:34 |c|+Flurbel|nice
15:07:37 |c|+Flurbel|sun?
15:07:37 |c|&chari**zard**8888|Wait that sounds good, A cowboy singing Snaq? lol
15:07:42 |c| ggdaca|(cuz i got it as wonder trade)
15:07:44 |c| ggdaca|ye sun
15:07:50 |c| ggdaca|for a female salandit
15:07:55 |c|+Flurbel|power
15:07:58 |c|+Flurbel|good trade
15:08:05 |c|+Flurbel|I only have Y
15:08:08 |raw|<div class='chat'><small>+</small><button name='parseCommand' value='/user Flurbel' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#4A7826'>Flurbel:</font></b></button><em class='mine'><img src="https://cdn.rawgit.com/CreaturePhil/dem-feels/master/emotes/feelsdd.png" title="feelsdd" width="50" height="50" /></em></div>
15:08:09 |c|+Flurbel|rip
15:08:30 |c|+Flurbel|and alpa sapphire
15:08:33 |l| Light of Pyro
15:08:34 |c|+Flurbel|but lost it
15:08:37 |raw|<div class='chat'><small>+</small><button name='parseCommand' value='/user Flurbel' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#4A7826'>Flurbel:</font></b></button><em class='mine'><img src="https://cdn.rawgit.com/CreaturePhil/dem-feels/master/emotes/feelsdd.png" title="feelsdd" width="50" height="50" /></em></div>
15:08:44 |c|$TimeZone|That frog looks like it's resting peacefully...
15:08:55 |l|+Flurbel
15:08:56 |c| ggdaca|shld i try the randomizer of ORAS?
15:08:57 |c|#Snaquaza|chari**zard**8888, Ed Sheeran
15:09:03 |c| ggdaca|i did on dun
15:09:05 |c|#Snaquaza|from his new album
15:09:06 |c| ggdaca|*sun
15:09:16 |c|#Snaquaza|and its in irish style .3.
15:09:29 |c|&chari**zard**8888|:o
15:10:42 |c| ggdaca|guess what i got for the asslion
15:10:53 |c| ggdaca|(i wonder traded it btw)
15:13:06 |c|#Snaquaza|cofag
15:13:17 |c| ggdaca|no
15:13:55 |c| ggdaca|a 6 IV female salandit
15:14:49 |c|$TimeZone|Cofagrigus=cofag?
15:14:59 |c|$TimeZone|Nice mean nickname if so z,z
15:15:49 |c|$TimeZone|Omo wait you're playing pmd or something ?
15:17:01 |l|&chari**zard**8888
15:17:02 |c|$TimeZone|Nvm
15:17:15 |c|$TimeZone|Read it as "wonder mail"
15:17:42 |userstats|total:12|guests:2| :6|+:1|$:1|%:1|@:0|*:2|★:0|#:1|&:0|~:0|⚔:0
15:18:14 |c| ggdaca|idk about u but pmd is a java code analyzer thingamajick 
15:21:03 |c|$TimeZone|What ?
15:21:06 |c|$TimeZone|Obviously 
15:21:14 |c|$TimeZone|I'm taking pokemon mystery dungeon 
15:21:19 |c|$TimeZone|=pmd
15:21:22 |c|$TimeZone|but nvm
15:21:46 |c|$TimeZone|talking*
15:23:11 |c| ggdaca|ahh mystery dungeon
15:27:37 |c|$TimeZone|I wish I knew how op imprison was in pmd lol
15:28:01 |c|$TimeZone|Back when I played Sky ;/
15:28:54 |c| ggdaca|u guys answered my last question well, but answer this: why does pheromosa roost
15:29:46 |c|#Snaquaza|phero needed a better movepool
15:29:52 |c|#Snaquaza|so why not give it recovery
15:29:52 |c|#Snaquaza|:6]
15:29:54 |c|$TimeZone|same reason why Wooper has ice Punch, or Chansey having earthquake 
15:30:08 |c|$TimeZone|we
15:30:12 |c|$TimeZone|Do not know lol
15:30:42 |l|+Tamatomo
15:30:52 |c|$TimeZone|!Learn Happiny, Earthquake 
15:30:52 |html|<div class="infobox">In Gen 7, Happiny <span class="message-learn-cannotlearn">can't</span> learn Earthquake</div>
15:30:55 |c|$TimeZone|good
15:31:18 |c|$TimeZone|I don't think even gf could explain that lol
15:31:56 |l|$TimeZone
15:33:51 |j|$TimeZone
15:34:39 |c|#Snaquaza|yeah
15:34:41 |c|#Snaquaza|!u gf
15:34:41 |html|<div class="infobox"><b>GF:</b> 1. Chatting: Short for &quot;Girl Friend&quot;<br />2. Gaming: Jedi-Outcast: &quot;Good Fight.&quot; usually said after a Lightsaber duel.</div>
15:34:45 |c|#Snaquaza|can't explain that
15:35:02 |c|#Snaquaza|btw explain this to me
15:35:06 |c|#Snaquaza|!learn Mantyke, Earthquake
15:35:06 |html|<div class="infobox">In Gen 7, Mantyke <span class="message-learn-canlearn">can</span> learn Earthquake from:<ul class="message-learn-list"><li>anywhere (all moves are level-up/tutor/TM/HM in gen 7)</ul></div>
15:35:14 |c|#Snaquaza|!dt mantyke
15:35:14 |c|~|/data-pokemon Mantyke
|raw|<font size="1"><font color="#686868">Dex#:</font> 458&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 4&nbsp;|&ThickSpace;<font color="#686868">Height:</font> 1 m&nbsp;|&ThickSpace;<font color="#686868">Weight:</font> 65 kg <em>(80 BP)</em>&nbsp;|&ThickSpace;<font color="#686868">Dex Colour:</font> Blue&nbsp;|&ThickSpace;<font color="#686868">Egg Group(s):</font> Undiscovered&nbsp;|&ThickSpace;<font color="#686868">Evolution:</font> Mantine (1)</font>
15:36:04 |c|$TimeZone|lmfao 
15:36:22 |c|$TimeZone|!U GameFreak
15:36:23 |html|<div class="infobox"><b>Game Freak:</b> Someone who makes stupid threads.</div>
15:37:45 |c|$TimeZone|still don't see why palossand lacks Stealth rock ;/
15:37:53 |c|#Snaquaza|uh
15:38:03 |c|#Snaquaza|because Stealth Rock is normally a tutor move (after gen 4)
15:38:07 |c|#Snaquaza|and Gen 7 doesn't have tutors yet
15:38:09 |c|$TimeZone|;(
15:39:06 |j|~Ransei
15:39:47 |c|$TimeZone|!Learn Ludicolo , Petal dance 
15:39:47 |html|<div class="infobox">In Gen 7, Ludicolo <span class="message-learn-cannotlearn">can't</span> learn Petal Dance</div>
15:39:49 |c|$TimeZone|this?
15:39:59 |c|$TimeZone|It's labeled as "the dancing pokemon "
15:40:41 |c|#Snaquaza|isn't it the carefree pokemon
15:40:59 |c|$TimeZone|!Data ludicolo
15:40:59 |c|~|/data-pokemon Ludicolo

15:41:03 |c|$TimeZone|Eh
15:41:15 |c|$TimeZone|not entirely sure
15:41:16 |j| LET'S GO! Metapod!
15:41:47 |c| ggdaca|it says dance mon is bellosum
15:41:59 |c|$TimeZone|It is carefree lol 
15:42:10 |c| ggdaca|and ludiocolo is carefree yeah
15:42:18 |c|#Snaquaza|!learn Meowth, Petal Dance
15:42:18 |html|<div class="infobox">In Gen 7, Meowth <span class="message-learn-canlearn">can</span> learn Petal Dance only when obtained from:<ul class="message-learn-list"><li>gen 3 event: 0 meowth</ul></div>
15:42:19 |c|#Snaquaza|sup
15:43:04 |l| ggdaca
15:43:34 |c|$TimeZone|Should still get petal dance tho ;/
15:43:59 |l| LET'S GO! Metapod!
15:44:12 |c|#Snaquaza|yeah Meowth should definitely learn Petal Dance
15:44:15 |c|#Snaquaza|and Sableye Octazooka
15:44:30 |c|$TimeZone|I meant ludicolo lol
15:44:52 |c|#Snaquaza|!u ludicolo
15:44:52 |html|<div class="infobox"><b>ludicolo:</b> The dancing, Mexican Sombrero Pineapple Duck!!</div>
15:44:56 |c|#Snaquaza|but seriously
15:44:59 |c|#Snaquaza|Ludicolo doesn't have petals
15:45:00 |c|$TimeZone|o.o
15:45:41 |c|$TimeZone|Its hands are petals ?
15:46:01 |c|$TimeZone|Like, that shit look like you can put it on fire 
15:51:24 |c|$TimeZone|o.o 
15:51:37 |c|$TimeZone|!Learn Smoochum, Petal dance 
15:51:37 |html|<div class="infobox">In Gen 7, Smoochum <span class="message-learn-cannotlearn">can't</span> learn Petal Dance</div>
15:51:42 |c|$TimeZone|oh gawd
15:51:46 |c|$TimeZone|I was gonna rage
15:51:49 |c|$TimeZone|lol
15:55:57 |l|#Snaquaza
15:56:00 |j|#Snaquaza
15:56:58 |j| LET'S GO! Metapod!
15:58:56 |l|$TimeZone
15:59:03 |l| LET'S GO! Metapod!
15:59:59 |j|$TimeZone
16:00:00 |l|$TimeZone
16:00:41 |j|$TimeZone
16:03:59 |l|$TimeZone
16:07:25 |j|$TimeZone
16:08:41 |j| LET'S GO! Metapod!
16:10:09 |j| ggdaca
16:11:18 |l| LET'S GO! Metapod!
16:11:31 |l|$TimeZone
16:11:36 |j|$TimeZone
16:17:42 |userstats|total:12|guests:2| :6|+:0|$:1|%:1|@:0|*:2|★:0|#:1|&:0|~:1|⚔:0
16:20:40 |l|$TimeZone
16:22:14 |j|$TimeZone
16:25:18 |l|$TimeZone
16:26:06 |l|%Zygardeorder
16:27:19 |j|$TimeZone
16:29:08 |j|%Zygardeorder
16:30:00 |j| TJosher
16:30:03 |raw|<div class='chat'><small> </small><button name='parseCommand' value='/user TJosher' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#C7951F'>TJosher:</font></b></button><em class='mine'>Rawr!!!I&apos;m a dragon and I&apos;m gonna chill in this boss server <img src="https://cdn.rawgit.com/CreaturePhil/dem-feels/master/emotes/feelsgd.png" title="feelsgd" width="50" height="50" /></em></div>
16:30:06 |raw|<div class='chat'><small> </small><button name='parseCommand' value='/user TJosher' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#C7951F'>TJosher:</font></b></button><em class='mine'>Rawr!!!I&apos;m a dragon and I&apos;m gonna chill in this boss server <img src="https://cdn.rawgit.com/CreaturePhil/dem-feels/master/emotes/feelsgd.png" title="feelsgd" width="50" height="50" /></em></div>
16:30:28 |l| TJosher
16:31:40 |j|&chari**zard**8888
16:34:23 |j|@Alpha Shivam ♱
16:34:59 |c|@Alpha Shivam ♱|hey guys
16:35:01 |c|@Alpha Shivam ♱|hey Ransei
16:35:04 |c|@Alpha Shivam ♱|hey chari**zard**8888
16:35:17 |c|&chari**zard**8888|Hoi
16:36:11 |c|~Ransei|yo
16:37:34 |l| ggdaca
16:37:48 |j| ggdaca
16:37:56 |c|$TimeZone|Hai
16:43:51 |j| BckNights
16:45:11 |j| kyusu
16:49:05 |l|#Snaquaza
16:54:57 |l| ggdaca
16:55:18 |j| ggdaca
16:58:04 |n|&charizard8888|charizard8888
16:58:18 |l| BckNights
17:05:41 |l|@Alpha Shivam ♱
17:06:35 |l|&charizard8888
17:09:46 |l| kyusu
17:10:04 |j| AmineFifty
17:10:08 |l| AmineFifty
17:11:42 |j|#Snaquaza
17:17:42 |userstats|total:12|guests:2| :6|+:0|$:1|%:1|@:0|*:2|★:0|#:1|&:0|~:1|⚔:0
17:18:54 |j|&charizard8888
17:21:11 |j| EchoGaia
17:26:38 |c| EchoGaia|i love my rain team in BnB
17:27:07 |c|$TimeZone|^
17:27:48 |j| firebreathingyoshi
17:29:06 |c|$TimeZone|Snaquaza what are some decent defensive pokes Pyukumuku can fuse with?
17:29:24 |c| EchoGaia|something with attacking moves maybe...
17:29:43 |c|$TimeZone|I tried Milotic and Goodra 
17:30:03 |c|#Snaquaza|honestly
17:30:10 |c| EchoGaia|Crawdaunt very good in BnB
17:30:11 |c|#Snaquaza|it largely depends on what mons you need to check
17:30:13 |c|$TimeZone|Goodra is mediocre af....I only tried it to cancel out Grass weakness 
17:30:32 |c|#Snaquaza|I honestly kinda look to use dual unaware on stall since otherwise you can get rekt, so I'd personally look for synergy with whatever Clef fusion you have
17:30:41 |c| EchoGaia|you're not even weak to grass if water/dragon
17:30:56 |c|$TimeZone|immunity is always better tho
17:30:59 |c| EchoGaia|true
17:31:03 |c| EchoGaia|immune to spore too
17:31:16 |c| EchoGaia|dunno if azu is good too maybe? 
17:31:23 |c|$TimeZone|thick fat
17:31:24 |c|$TimeZone|;(
17:31:29 |c| EchoGaia|oh rip
17:31:37 |j| Spirit of Twilight
17:31:51 |n|+Mistress Midnight|spiritoftwilight
17:32:01 |c|$TimeZone|Dual ?
17:32:04 |c|$TimeZone|Screens?
17:32:06 |n| Spirit of Twilight|mistressmidnight
17:32:10 |c| EchoGaia|dual unaware he meant
17:32:11 |c| Spirit of Twilight|Twilight approaches
17:32:13 |c|$TimeZone|ooh
17:32:30 |c| EchoGaia|well with clefable you won't get unaware+magic guard
17:32:30 |c|$TimeZone|herro
17:32:35 |c| EchoGaia|clefable gives cute charm
17:32:42 |c| Spirit of Twilight|Is this pokebilities?
17:32:45 |c|$TimeZone|I think he means 
17:32:50 |c|$TimeZone|two unaware pokes
17:32:59 |c|$TimeZone|Not Pyukumuku and clef fused
17:33:02 |c|$TimeZone|That'll be awful 
17:33:21 |c| EchoGaia|oh oki
17:33:45 |c|$TimeZone|I can understand that too lol
17:33:52 |c|$TimeZone|It's fkn Ubers 
17:34:10 |c|#Snaquaza|yeah
17:34:14 |c|#Snaquaza|a clef mon and a pyuku mon
17:34:17 |c|$TimeZone|Never a such thing as "too safe"
17:34:17 |c| EchoGaia|you can fuse with steelix maybe? it get good defense with it no?
17:34:24 |c|$TimeZone|hm
17:34:34 |c|#Snaquaza|say you fuse Clef with Magearna (like I did on my team)
17:34:35 |c| EchoGaia|and water/steel or water/ground are both good typings
17:34:42 |c|#Snaquaza|then I'm weak to Ground and Fire boosteres
17:34:57 |c|$TimeZone|I would use the pure typing tbh
17:35:15 |c|#Snaquaza|so maybe I'd want a Water / Flying type (Pyukumuku + Thundurus-Therian shiny idk), and Magearna covers rock for it
17:35:17 |c|#Snaquaza|just an example
17:35:18 |c| EchoGaia|pure water?
17:35:19 |c|#Snaquaza|idk if its the best lol
17:35:24 |c|#Snaquaza|yh pure water's good too
17:35:25 |c|$TimeZone|I mean on clefable 
17:35:31 |c| EchoGaia|what about tornadus snaquaza?
17:35:35 |c| EchoGaia|Regenerator
17:35:38 |c|$TimeZone|clefable x Mag that I'd
17:35:39 |c|#Snaquaza|possible too
17:35:43 |c|$TimeZone|Is*
17:35:44 |c|#Snaquaza|but I wanted to cover the Electric weakness
17:35:48 |c| EchoGaia|oh yah
17:36:24 |c|#Snaquaza|!fuse Eevee, Bibarel
17:36:24 |html|<div class="infobox"><b>Stats</b>: 67/70/55/50/62/63<br /><b>BST</b>:367<br /><b>Type:</b> Normal<br /><b>Abilities</b>: Run Away/Adaptability/Anticipation + Simple<br /><b>Weight</b>: 19 kg</div>
17:36:30 |c| EchoGaia|eh
17:36:32 |c|#Snaquaza|can get Simple Extreme Evoboost
17:36:34 |c|#Snaquaza|if you're into that
17:36:39 |c|$TimeZone|lol
17:36:39 |c| EchoGaia|normal/water snaquaza
17:36:42 |c|#Snaquaza|yes
17:36:44 |c| EchoGaia|make bibarel shiny
17:36:47 |c|#Snaquaza|I know
17:36:54 |c|#Snaquaza|I just didn't bother as it wasn't the goal of the mon per se
17:36:56 |c|$TimeZone|good luck pulling it off tbh
17:37:04 |c|$TimeZone|that bulk man
17:37:13 |l|&charizard8888
17:37:17 |c| EchoGaia|it's not bad adapt+simple, if you can get off the evoboost you can sweep with dual adaptability boosted priority moves
17:37:23 |c| Spirit of Twilight|I am the master of twilight http://dragonheaven.psim.us/battle-gen7franticfusionsubers-22223
17:37:35 |c| EchoGaia|use aurora veil support timezone
17:37:36 |c|$TimeZone|I tried that burn up gimmicks btw twilight 
17:37:46 |c|#Snaquaza|TimeZone, you could use an Aurora Veil mon ig
17:37:46 |c|$TimeZone|On tyhplosion tho
17:37:58 |c|$TimeZone|oh true
17:38:07 |c| EchoGaia|what about fusing eevee and swoobat?
17:38:12 |c|#Snaquaza|Swoobat is banned
17:38:17 |c| EchoGaia|oh it is?
17:38:18 |c|#Snaquaza|Swoobat + Jirachi was insane
17:38:23 |c|$TimeZone|even in Ubers?
17:38:24 |c|#Snaquaza|(Jirachi gets Celebrate)
17:38:25 |c| Spirit of Twilight|ol
17:38:27 |c| Spirit of Twilight|Yep
17:38:28 |c|$TimeZone|o.o
17:38:28 |c|#Snaquaza|not in ubers
17:38:30 |c|#Snaquaza|ubers doesn't have bans
17:38:33 |c|$TimeZone|^
17:38:35 |c|$TimeZone|;)
17:38:40 |c| EchoGaia|extreme evoboost is banned in regular tho i think
17:38:53 |c| EchoGaia|so it's obviously Ubers 
17:39:01 |c|$TimeZone|^ lol
17:39:02 |c| EchoGaia|not sure
17:39:24 |c|$TimeZone|Araq x Azu Is allowed in Ubers too. Honestly not that bad too
17:39:31 |c|$TimeZone|That jet fkn hurt
17:39:37 |c| EchoGaia|actually it's not banned
17:39:40 |c| EchoGaia|with bibarel
17:40:03 |c|$TimeZone|But it is with Azumarill
17:40:18 |c|$TimeZone|Azumarill can't abuse bubble in reg FF ;/
17:40:39 |c| EchoGaia|i was talking about Eevee...
17:41:41 |c| EchoGaia|gotta go
17:41:43 |l| EchoGaia
17:41:43 |c|$TimeZone|Pooh
17:41:46 |c|$TimeZone|ooh*
17:43:10 |c|$TimeZone|wow
17:43:33 |c|$TimeZone|Regigigas using extreme Evo boost o.o
17:44:23 |c| Spirit of Twilight|I win
17:44:34 |c| Spirit of Twilight|Timezone
17:44:36 |c| Spirit of Twilight|Want to battle
17:44:40 |c|$TimeZone|....
17:44:47 |c|$TimeZone|Ok
17:49:19 |j| joey0014
17:50:44 |l| joey0014
17:54:24 |c|$TimeZone|wrong team but GG lmao
17:54:51 |l| Spirit of Twilight
17:54:55 |j| Spirit of Twilight
17:59:08 |j| Salle Suspect
17:59:39 |n| Le'Salle|sallesuspect
18:00:26 |j| Ludicrousity
18:00:29 |c| Le'Salle|Time Zone
18:00:30 |c| Ludicrousity|ah, finally
18:00:31 |c| Le'Salle|fite me
18:02:41 |l| Spirit of Twilight
18:02:46 |j| Spirit of Twilight
18:02:48 |c| Spirit of Twilight|Twilight
18:03:22 |c| Spirit of Twilight|http://dragonheaven.psim.us/battle-gen7franticfusions-22231
18:03:26 |c| Spirit of Twilight|this could work
18:03:49 |l|$TimeZone
18:04:10 |j|$TimeZone
18:06:57 |c| Spirit of Twilight|http://dragonheaven.psim.us/battle-gen7franticfusions-22234
18:07:02 |c| Spirit of Twilight|I think ive tried this before
18:07:55 |c| Le'Salle|omg
18:08:07 |j|@Alpha Shivam ♱
18:08:09 |c| Spirit of Twilight|what?
18:08:09 |c| Le'Salle|school form wishi + greninja
18:08:16 |c| Spirit of Twilight|nah that wont do anything
18:08:16 |c| Le'Salle|Offenses: 117/121
18:08:21 |c| Spirit of Twilight|that wont work
18:08:26 |c| Le'Salle|Defenses: 98/103
18:08:31 |c| Spirit of Twilight|but nice thought tho
18:08:35 |c| Spirit of Twilight|Even if it wont work lol
18:08:38 |c| Le'Salle|As long as Wishi is >25%
18:08:42 |c|$TimeZone|Hm
18:08:46 |c| Le'Salle|it gets those stats
18:08:48 |c| Spirit of Twilight|no
18:08:49 |c|$TimeZone|You used eevium Z?
18:08:51 |c| Spirit of Twilight|Because
18:08:55 |c| Spirit of Twilight|Wishiwash form changes
18:09:01 |c| Le'Salle|yeah
18:09:03 |c| Spirit of Twilight|basically immediately at full battle at start
18:09:04 |c| Spirit of Twilight|Therefore
18:09:07 |c| Le'Salle|yeah
18:09:09 |c| Spirit of Twilight|Its stats go back to school form
18:09:18 |c| Spirit of Twilight|and its type goes back to school form type
18:09:26 |c| Spirit of Twilight|but when it goes bcak into regular wishiwashi
18:09:31 |c| Spirit of Twilight|It doesnt go back to fuse form
18:10:07 |c|$TimeZone|did you use eevium Z ---> Last Resort ? Wasn't paying attention ;/
18:10:23 |c|$TimeZone|skipped throu every round lol
18:11:50 |c| Spirit of Twilight|meh http://dragonheaven.psim.us/battle-gen7franticfusions-22240
18:13:31 |c| Le'Salle|But as long as Wishi is in School form
18:13:36 |c| Le'Salle|It gets those stats
18:13:40 |c| Spirit of Twilight|No i will show you
18:14:12 |c|$TimeZone|lol
18:14:36 |c| Le'Salle|waiit
18:14:43 |c| Le'Salle|Battle-Bond  / Schooling
18:15:01 |c| Spirit of Twilight|yes form changes do not remove abilities
18:15:04 |c| Spirit of Twilight|only mega evo
18:17:33 |c| Spirit of Twilight|here i will show you http://dragonheaven.psim.us/battle-gen7franticfusions-22244
18:17:42 |userstats|total:17|guests:2| :10|+:0|$:1|%:1|@:1|*:2|★:0|#:1|&:0|~:1|⚔:0
18:19:53 |c| Spirit of Twilight|http://dragonheaven.psim.us/battle-gen7franticfusions-22245
18:20:45 |j| friedrice353
18:21:20 |l| Ludicrousity
18:21:50 |c| Spirit of Twilight|this could work tho http://dragonheaven.psim.us/battle-gen7franticfusions-22245
18:22:38 |l|#Snaquaza
18:22:42 |c| Spirit of Twilight|lol i have a fun idea
18:22:46 |c| Spirit of Twilight|its pretty stupid
18:23:43 |l| friedrice353
18:23:49 |c|$TimeZone|o;
18:23:50 |j| Ludicrousity
18:24:17 |c| Spirit of Twilight|aww
18:24:19 |c| Spirit of Twilight|Rip smeargle
18:24:21 |c| Spirit of Twilight|Unforunatelry
18:24:26 |c| Spirit of Twilight|Then the combo would be great
18:24:45 |c| Spirit of Twilight|Unforunately fusing with smeargle doesnt grant you its movepool
18:24:51 |c| Ludicrousity|sadly
18:24:51 |c|$TimeZone|Sketch 
18:24:54 |c|$TimeZone|You mean
18:24:55 |c| Spirit of Twilight|So no wishiwashi movepool
18:24:58 |c| Spirit of Twilight|I mean
18:25:05 |c| Spirit of Twilight|No smeargle movepool
18:25:07 |c| Spirit of Twilight|I was thinking
18:25:11 |c| Spirit of Twilight|Wishismeargle
18:25:14 |c| Spirit of Twilight|Belly dru,
18:25:16 |c| Spirit of Twilight|Extrme speed
18:25:17 |c| Spirit of Twilight|earthquake
18:25:19 |c| Spirit of Twilight|crabhammer perhaps
18:26:11 |c|$TimeZone|lmao
18:26:21 |c| Ludicrousity|Wishiwashi, Ninjask anyone>
18:26:26 |c| Spirit of Twilight|hecause
18:26:31 |c| Ludicrousity|Speed Boost breaks this thin
18:26:31 |c| Spirit of Twilight|You would get wishiwashi school form stats
18:26:39 |c| Spirit of Twilight|Wait hold on i go for a sec
18:26:58 |c| Ludicrousity|53/115/87/95/92/95
18:27:01 |c| Ludicrousity|meh
18:28:16 |c| Ludicrousity|Rampardos, Azumarill anyone? Let's break the meta with Huge Power Aqua Jet from a base 107 attack
18:28:25 |c|$TimeZone|twilight 
18:28:31 |c|$TimeZone|Click my name 
18:28:33 |c|$TimeZone|Join my fire 
18:28:37 |c|$TimeZone|Fite
18:28:39 |j| gslure
18:28:55 |raw|<div class='chat'><small> </small><button name='parseCommand' value='/user gslure' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#DF2B94'>gslure:</font></b></button><em class='mine'>Rawr!!!I&apos;m a dragon and I&apos;m gonna chill in this boss server <img src="https://cdn.rawgit.com/CreaturePhil/dem-feels/master/emotes/feelsgd.png" title="feelsgd" width="50" height="50" /></em></div>
18:30:39 |j| totodile tx -
18:31:15 |c| Spirit of Twilight|http://dragonheaven.psim.us/battle-gen7franticfusions-22248
18:31:17 |c| Spirit of Twilight|better combos
18:31:41 |l| totodile tx -
18:36:36 |c|$TimeZone|!Data revelation dance 
18:36:36 |c|~|/data-move Revelation Dance

18:36:42 |c|$TimeZone|Its only stab
18:36:50 |c| Le'Salle|wow
18:36:54 |c| Le'Salle|Twilight
18:36:56 |c| Le'Salle|fite me
18:36:56 |c|$TimeZone|typeless I mean ;/
18:37:40 |c| Le'Salle|someone fite me
18:38:54 |c| Spirit of Twilight|maybe
18:38:56 |c| Spirit of Twilight|im testing possivle
18:39:00 |c| Spirit of Twilight|But they are not my best
18:40:10 |l|@Alpha Shivam ♱
18:40:49 |j| yraf
18:42:45 |l| yraf
18:44:58 |c| Spirit of Twilight|possible? http://dragonheaven.psim.us/battle-gen7franticfusions-22250
18:45:16 |c| Spirit of Twilight|nvm
18:45:37 |c|$TimeZone|Lol
18:45:45 |c| Spirit of Twilight|ill win now probably http://dragonheaven.psim.us/battle-gen7franticfusions-22250
18:46:25 |c| Spirit of Twilight|http://dragonheaven.psim.us/battle-gen7franticfusions-22253
18:46:35 |l|$TimeZone
18:46:39 |j|$TimeZone
18:48:22 |l|$TimeZone
18:50:23 |j| Steeve99
18:52:09 |l| shwb
18:55:04 |l| Ludicrousity
18:57:04 |l| Steeve99
18:57:34 |c| Spirit of Twilight|aww
18:57:38 |c| Spirit of Twilight|Crashed validator
18:57:40 |c| Spirit of Twilight|Unforuante
18:57:52 |c| Spirit of Twilight|oh nvm
18:57:54 |c| Spirit of Twilight|This will work with this
18:59:00 |c| Spirit of Twilight|why isnt there a hidden power fairy
19:00:36 |j| dioo the lightning
19:01:13 |j| shwb
19:01:28 |l| shwb
19:02:01 |j| shwb
19:03:07 |c| Spirit of Twilight|http://dragonheaven.psim.us/battle-gen7franticfusions-22255
19:07:25 |l|%Zygardeorder
19:07:36 |j|%Zygardeorder
19:07:45 |n| Lady Twilight|spiritoftwilight
19:08:30 |n| TheorytoEverything|ladytwilight
19:08:38 |n| TheorytoEverything|theorytoeverything
19:08:42 |n| TheorytoEverything|theorytoeverything
19:08:58 |n| Spirit of Twilight|theorytoeverything
19:09:04 |l| dioo the lightning
19:11:05 |n| N-d of the World|spiritoftwilight
19:11:17 |n| N-d of the World|ndoftheworld
19:11:26 |n| Spirit of Twilight|ndoftheworld
19:12:20 |c| Spirit of Twilight|uhuh
19:12:21 |n| Perplexle|spiritoftwilight
19:13:06 |n| Wolf Savage|perplexle
19:13:19 |n| Wolf Savage|wolfsavage
19:13:29 |n| Spirit of Twilight|wolfsavage
19:13:50 |j| tobias9825
19:14:30 |l| tobias9825
19:15:16 |n| The Void Shadow|spiritoftwilight
19:15:26 |n|+Mistress Midnight|thevoidshadow
19:15:43 |j| Steeve99
19:16:15 |l| Steeve99
19:16:17 |n| Debby Downer|mistressmidnight
19:16:23 |n|+Mistress Midnight|debbydowner
19:17:29 |n| Psyonic Envoy|mistressmidnight
19:17:37 |n| Psychic Envoy|psyonicenvoy
19:17:42 |userstats|total:14|guests:2| :10|+:0|$:0|%:1|@:0|*:2|★:0|#:0|&:0|~:1|⚔:0
19:19:03 |n| Psyonic Envoy|psychicenvoy
19:19:51 |n| Oblivion Matter|psyonicenvoy
19:19:59 |n| Oblivion Construct|oblivionmatter
19:20:42 |n| Kilcode|oblivionconstruct
19:20:56 |j| Drag0nMasterZinnia
19:21:34 |n| The True Spartan|kilcode
19:21:38 |c| The True Spartan|I remember this ALT
19:21:48 |n| Aztahkorian|thetruespartan
19:22:21 |n|+Mistress Midnight|aztahkorian
19:23:03 |n| Hilt Smqsh|mistressmidnight
19:23:24 |n| Noobiest Noober|hiltsmqsh
19:23:31 |l| Drag0nMasterZinnia
19:23:38 |n| ABCDeath|noobiestnoober
19:24:18 |n| Shadow Kune|abcdeath
19:24:47 |n| Satoshi Kune|shadowkune
19:25:00 |n| Tserena|satoshikune
19:25:16 |n| Lady Diantha|tserena
19:25:22 |n| Master of the Ring|ladydiantha
19:25:28 |j|#Snaquaza
19:25:42 |n| No you cnat|masterofthering
19:26:09 |n| Ash is Ashes|noyoucnat
19:26:23 |j|+smellslikememe
19:26:28 |n| Bowspammer|ashisashes
19:26:37 |n| FilthyBowSpammer|bowspammer
19:27:18 |n| Light of Onyxia|filthybowspammer
19:27:29 |n| Shadow of Onyx|lightofonyxia
19:27:50 |n| Shadow of Onyxia|shadowofonyx
19:28:08 |n| Cursed Blades|shadowofonyxia
19:28:19 |n| Infused Magic|cursedblades
19:29:20 |l| ggdaca
19:29:30 |n|+Mistress Midnight|infusedmagic
19:29:32 |c|+Mistress Midnight|yay
19:29:43 |c|+Mistress Midnight|Hi snquaza and smellslike meme
