00:01:43 |j| malphasmarx
16:45:22 |c|$Ludicrousity|lol
16:45:36 |c|$Ludicrousity|or, Anyone want a battle?
16:45:46 |c|@Flurbel|sure
16:46:31 |userstats|total:8|guests:0| :0|+:2|$:1|%:1|@:1|*:2|★:0|#:0|&:0|~:1|⚔:0
16:47:45 |c|+UncleFlacco|I most definitely outsped, what did you do?
16:47:56 |c|@Flurbel|i told you
16:48:40 |c|+UncleFlacco|both ways I'm faster
16:49:16 |c|@Flurbel|no.
16:49:24 |c|@Flurbel|!fuse metagross-mega, weavile
16:49:24 |html|<div class="message"><ul class="utilichart"><li class="result"><span class="col numcol">OU</span> <span class="col iconcol"><span style="background:transparent url(https://play.pokemonshowdown.com/sprites/smicons-sheet.png?a1) no-repeat scroll -40px -2520px"></span></span> <span class="col pokemonnamecol" style="white-space:nowrap"><a href="https://pokemonshowdown.com/dex/pokemon/metagrossmega" target="_blank">Metagross-Mega</a></span> <span class="col typecol"><img src="https://play.pokemonshowdown.com/sprites/types/Steel.png" alt="Steel" height="14" width="32"><img src="https://play.pokemonshowdown.com/sprites/types/Dark.png" alt="Dark" height="14" width="32"></span> <span style="float:left;min-height:26px"><span class="col abilitycol">Tough Claws</span><span class="col twoabilitycol"><em>undefined<br /><b>Pressure</b></em></span></span><span style="float:left;min-height:26px"><span class="col statcol"><em>HP</em><br />75</span> <span class="col statcol"><em>Atk</em><br />132</span> <span class="col statcol"><em>Def</em><br />107</span> <span class="col statcol"><em>SpA</em><br />75</span> <span class="col statcol"><em>SpD</em><br />97</span> <span class="col statcol"><em>Spe</em><br />117</span> <span class="col bstcol"><em>BST<br />603</em></span> </span></li><li style="clear:both"></li></ul></div>
16:49:24 |raw|<font size="1"><font color="#686868">Dex#:</font> 376&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 6&nbsp;|&ThickSpace;<font color="#686868">Height:</font> 2.5 m&nbsp;|&ThickSpace;<font color="#686868">Weight:</font> 488.45 kg <em>(120 BP)</em>&nbsp;|&ThickSpace;<font color="#686868">Dex Colour:</font> Blue&nbsp;|&ThickSpace;<font color="#686868">Does Not Evolve</font></font>
16:49:28 |c|@Flurbel|117!!
16:49:32 |c|+UncleFlacco|117 vs 127
16:49:35 |c|+UncleFlacco|sorry
16:49:38 |c|@Flurbel|what where you
16:49:41 |c|@Flurbel|which mon
16:49:44 |c|%EchoGaia|hey welcome back zard
16:49:54 |c|+UncleFlacco|!fuse mega beedrill, heracross
16:49:54 |html|<div class="message-error">Error: Pokemon not found</div>
16:50:04 |c|+UncleFlacco|!fuse beedrillmega, heracross
16:50:04 |html|<div class="message"><ul class="utilichart"><li class="result"><span class="col numcol">OU</span> <span class="col iconcol"><span style="background:transparent url(https://play.pokemonshowdown.com/sprites/smicons-sheet.png?a1) no-repeat scroll -160px -2430px"></span></span> <span class="col pokemonnamecol" style="white-space:nowrap"><a href="https://pokemonshowdown.com/dex/pokemon/beedrillmega" target="_blank">Beedrill-Mega</a></span> <span class="col typecol"><img src="https://play.pokemonshowdown.com/sprites/types/Bug.png" alt="Bug" height="14" width="32"></span> <span style="float:left;min-height:26px"><span class="col abilitycol">Adaptability</span><span class="col twoabilitycol"><em>undefined<br /><b>Swarm</b></em></span></span><span style="float:left;min-height:26px"><span class="col statcol"><em>HP</em><br />72</span> <span class="col statcol"><em>Atk</em><br />137</span> <span class="col statcol"><em>Def</em><br />57</span> <span class="col statcol"><em>SpA</em><br />27</span> <span class="col statcol"><em>SpD</em><br />87</span> <span class="col statcol"><em>Spe</em><br />115</span> <span class="col bstcol"><em>BST<br />495</em></span> </span></li><li style="clear:both"></li></ul></div>
16:50:04 |raw|<font size="1"><font color="#686868">Dex#:</font> 15&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 6&nbsp;|&ThickSpace;<font color="#686868">Height:</font> 1.4 m&nbsp;|&ThickSpace;<font color="#686868">Weight:</font> 47.25 kg <em>(60 BP)</em>&nbsp;|&ThickSpace;<font color="#686868">Dex Colour:</font> Yellow&nbsp;|&ThickSpace;<font color="#686868">Does Not Evolve</font></font>
16:50:10 |c|@Flurbel|115!!
16:50:11 |c|%EchoGaia|!fuse metagross mega, Pikachu
16:50:11 |html|<div class="message"><ul class="utilichart"><li class="result"><span class="col numcol">OU</span> <span class="col iconcol"><span style="background:transparent url(https://play.pokemonshowdown.com/sprites/smicons-sheet.png?a1) no-repeat scroll -40px -2520px"></span></span> <span class="col pokemonnamecol" style="white-space:nowrap"><a href="https://pokemonshowdown.com/dex/pokemon/metagrossmega" target="_blank">Metagross-Mega</a></span> <span class="col typecol"><img src="https://play.pokemonshowdown.com/sprites/types/Steel.png" alt="Steel" height="14" width="32"><img src="https://play.pokemonshowdown.com/sprites/types/Electric.png" alt="Electric" height="14" width="32"></span> <span style="float:left;min-height:26px"><span class="col abilitycol">Tough Claws</span><span class="col twoabilitycol"><em>undefined<br /><b>Static</b></em></span></span><span style="float:left;min-height:26px"><span class="col statcol"><em>HP</em><br />57</span> <span class="col statcol"><em>Atk</em><br />100</span> <span class="col statcol"><em>Def</em><br />95</span> <span class="col statcol"><em>SpA</em><br />77</span> <span class="col statcol"><em>SpD</em><br />80</span> <span class="col statcol"><em>Spe</em><br />100</span> <span class="col bstcol"><em>BST<br />509</em></span> </span></li><li style="clear:both"></li></ul></div>
16:50:11 |raw|<font size="1"><font color="#686868">Dex#:</font> 376&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 6&nbsp;|&ThickSpace;<font color="#686868">Height:</font> 2.5 m&nbsp;|&ThickSpace;<font color="#686868">Weight:</font> 474.45 kg <em>(120 BP)</em>&nbsp;|&ThickSpace;<font color="#686868">Dex Colour:</font> Blue&nbsp;|&ThickSpace;<font color="#686868">Does Not Evolve</font></font>
16:50:16 |c|%EchoGaia|meh
16:50:39 |j|@BBgun999
16:50:39 |c|%EchoGaia|!fuse metagross-mega, Raichu
16:50:39 |html|<div class="message"><ul class="utilichart"><li class="result"><span class="col numcol">OU</span> <span class="col iconcol"><span style="background:transparent url(https://play.pokemonshowdown.com/sprites/smicons-sheet.png?a1) no-repeat scroll -40px -2520px"></span></span> <span class="col pokemonnamecol" style="white-space:nowrap"><a href="https://pokemonshowdown.com/dex/pokemon/metagrossmega" target="_blank">Metagross-Mega</a></span> <span class="col typecol"><img src="https://play.pokemonshowdown.com/sprites/types/Steel.png" alt="Steel" height="14" width="32"><img src="https://play.pokemonshowdown.com/sprites/types/Electric.png" alt="Electric" height="14" width="32"></span> <span style="float:left;min-height:26px"><span class="col abilitycol">Tough Claws</span><span class="col twoabilitycol"><em>undefined<br /><b>Static</b></em></span></span><span style="float:left;min-height:26px"><span class="col statcol"><em>HP</em><br />70</span> <span class="col statcol"><em>Atk</em><br />117</span> <span class="col statcol"><em>Def</em><br />102</span> <span class="col statcol"><em>SpA</em><br />97</span> <span class="col statcol"><em>SpD</em><br />95</span> <span class="col statcol"><em>Spe</em><br />110</span> <span class="col bstcol"><em>BST<br />591</em></span> </span></li><li style="clear:both"></li></ul></div>
16:50:39 |raw|<font size="1"><font color="#686868">Dex#:</font> 376&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 6&nbsp;|&ThickSpace;<font color="#686868">Height:</font> 2.5 m&nbsp;|&ThickSpace;<font color="#686868">Weight:</font> 486.45 kg <em>(120 BP)</em>&nbsp;|&ThickSpace;<font color="#686868">Dex Colour:</font> Blue&nbsp;|&ThickSpace;<font color="#686868">Does Not Evolve</font></font>
16:50:44 |c|%EchoGaia|yeah better
16:50:57 |c|%EchoGaia|117 atk looks weak but tough claws volt tackle hehe
16:51:11 |l|@Flurbel
16:51:22 |c|$Ludicrousity|lol
16:51:30 |c|$Ludicrousity|Nice Recoil
16:51:30 |c|@BBgun999|!learn kyurem-black, bolt strike
16:51:30 |html|<div class="infobox">In Gen 7, Kyurem-Black <span class="message-learn-cannotlearn">can't</span> learn Bolt Strike</div>
16:51:53 |c|@BBgun999|!learn kyurem, bolt strike
16:51:53 |html|<div class="infobox">In Gen 7, Kyurem <span class="message-learn-cannotlearn">can't</span> learn Bolt Strike</div>
16:51:54 |c|@BBgun999|Rip
16:51:57 |c|$Ludicrousity|!learn kyurem-black, fusion bolt
16:51:57 |html|<div class="infobox">In Gen 7, Kyurem-Black <span class="message-learn-canlearn">can</span> learn Fusion Bolt from:<ul class="message-learn-list"><li>anywhere (all moves are level-up/tutor/TM/HM in gen 7)</ul></div>
16:53:00 |c| charizard8888|Sup
16:53:45 |c|@BBgun999|I can make the bot say h.ue twice
16:53:48 |c|$Ludicrousity|the sky
16:53:51 |c|%EchoGaia|who cares about recoil
16:53:53 |c|$Ludicrousity|me
16:53:59 |c|$Ludicrousity|it has crap HP
16:54:02 |c|@BBgun999|+say hue
16:54:02 |c|*OutrageousBoT|hue
16:54:02 |c|*OutrageousBoT|hue
16:54:10 |c|$Ludicrousity|hue
16:54:11 |c|*OutrageousBoT|hue
16:54:14 |c|$Ludicrousity|+say hue
16:54:15 |c|*OutrageousBoT|hue
16:54:15 |c|@BBgun999|Lel
16:54:15 |c|%EchoGaia|!fuse metagross-Mega, Victini
16:54:15 |html|<div class="message"><ul class="utilichart"><li class="result"><span class="col numcol">OU</span> <span class="col iconcol"><span style="background:transparent url(https://play.pokemonshowdown.com/sprites/smicons-sheet.png?a1) no-repeat scroll -40px -2520px"></span></span> <span class="col pokemonnamecol" style="white-space:nowrap"><a href="https://pokemonshowdown.com/dex/pokemon/metagrossmega" target="_blank">Metagross-Mega</a></span> <span class="col typecol"><img src="https://play.pokemonshowdown.com/sprites/types/Steel.png" alt="Steel" height="14" width="32"><img src="https://play.pokemonshowdown.com/sprites/types/Psychic.png" alt="Psychic" height="14" width="32"></span> <span style="float:left;min-height:26px"><span class="col abilitycol">Tough Claws</span><span class="col twoabilitycol"><em>undefined<br /><b>Victory Star</b></em></span></span><span style="float:left;min-height:26px"><span class="col statcol"><em>HP</em><br />90</span> <span class="col statcol"><em>Atk</em><br />122</span> <span class="col statcol"><em>Def</em><br />125</span> <span class="col statcol"><em>SpA</em><br />102</span> <span class="col statcol"><em>SpD</em><br />105</span> <span class="col statcol"><em>Spe</em><br />105</span> <span class="col bstcol"><em>BST<br />649</em></span> </span></li><li style="clear:both"></li></ul></div>
16:54:15 |raw|<font size="1"><font color="#686868">Dex#:</font> 376&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 6&nbsp;|&ThickSpace;<font color="#686868">Height:</font> 2.5 m&nbsp;|&ThickSpace;<font color="#686868">Weight:</font> 473.45 kg <em>(120 BP)</em>&nbsp;|&ThickSpace;<font color="#686868">Dex Colour:</font> Blue&nbsp;|&ThickSpace;<font color="#686868">Does Not Evolve</font></font>
16:54:15 |c|*OutrageousBoT|hue
16:54:19 |c|$Ludicrousity|lol
16:54:28 |c|%EchoGaia|!fuse metagross-Mega Victini, shiny
16:54:28 |html|<div class="message-error">Error: Pokemon not found</div>
16:54:36 |c|@BBgun999|!randpoke dragon type
16:54:36 |raw|<div class="message"><ul class="utilichart"><li class="result"><span class="col numcol">LC</span> <span class="col iconcol"><span style="background:transparent url(https://play.pokemonshowdown.com/sprites/smicons-sheet.png?a1) no-repeat scroll -400px -1500px"></span></span> <span class="col pokemonnamecol" style="white-space:nowrap"><a href="https://pokemonshowdown.com/dex/pokemon/axew" target="_blank">Axew</a></span> <span class="col typecol"><img src="https://play.pokemonshowdown.com/sprites/types/Dragon.png" alt="Dragon" height="14" width="32"></span> <span style="float:left;min-height:26px"><span class="col twoabilitycol">Rivalry<br />Mold Breaker</span><span class="col abilitycol"><em>Unnerve</em></span></span><span style="float:left;min-height:26px"><span class="col statcol"><em>HP</em><br />46</span> <span class="col statcol"><em>Atk</em><br />87</span> <span class="col statcol"><em>Def</em><br />60</span> <span class="col statcol"><em>SpA</em><br />30</span> <span class="col statcol"><em>SpD</em><br />40</span> <span class="col statcol"><em>Spe</em><br />57</span> <span class="col bstcol"><em>BST<br />320</em></span> </span></li><li style="clear:both"></li></ul></div>
|raw|<font size="1"><font color="#686868">Dex#:</font> 610&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 5&nbsp;|&ThickSpace;<font color="#686868">Height:</font> 0.6 m&nbsp;|&ThickSpace;<font color="#686868">Weight:</font> 18 kg <em>(40 BP)</em>&nbsp;|&ThickSpace;<font color="#686868">Dex Colour:</font> Green&nbsp;|&ThickSpace;<font color="#686868">Egg Group(s):</font> Monster, Dragon&nbsp;|&ThickSpace;<font color="#686868">Evolution:</font> Fraxure (38)</font>
16:54:38 |c| charizard8888|-c hue +c -c hue 
16:54:38 |c|*OutrageousBoT|hue
16:54:39 |c|*BatterBotto|hue +c -c hue 
16:54:39 |c|*OutrageousBoT|hue
16:54:44 |c|$Ludicrousity|!fuse victini, serperior
16:54:44 |html|<div class="message"><ul class="utilichart"><li class="result"><span class="col numcol">BL</span> <span class="col iconcol"><span style="background:transparent url(https://play.pokemonshowdown.com/sprites/smicons-sheet.png?a1) no-repeat scroll -80px -1230px"></span></span> <span class="col pokemonnamecol" style="white-space:nowrap"><a href="https://pokemonshowdown.com/dex/pokemon/victini" target="_blank">Victini</a></span> <span class="col typecol"><img src="https://play.pokemonshowdown.com/sprites/types/Psychic.png" alt="Psychic" height="14" width="32"><img src="https://play.pokemonshowdown.com/sprites/types/Grass.png" alt="Grass" height="14" width="32"></span> <span style="float:left;min-height:26px"><span class="col abilitycol">Victory Star</span><span class="col twoabilitycol"><em>undefined<br /><b>Overgrow</b></em></span></span><span style="float:left;min-height:26px"><span class="col statcol"><em>HP</em><br />87</span> <span class="col statcol"><em>Atk</em><br />87</span> <span class="col statcol"><em>Def</em><br />97</span> <span class="col statcol"><em>SpA</em><br />87</span> <span class="col statcol"><em>SpD</em><br />97</span> <span class="col statcol"><em>Spe</em><br />106</span> <span class="col bstcol"><em>BST<br />561</em></span> </span></li><li style="clear:both"></li></ul></div>
16:54:44 |raw|<font size="1"><font color="#686868">Dex#:</font> 494&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 5&nbsp;|&ThickSpace;<font color="#686868">Height:</font> 0.4 m&nbsp;|&ThickSpace;<font color="#686868">Weight:</font> 33.5 kg <em>(60 BP)</em>&nbsp;|&ThickSpace;<font color="#686868">Dex Colour:</font> Yellow&nbsp;|&ThickSpace;<font color="#686868">Does Not Evolve</font></font>
16:54:46 |c|%EchoGaia|!fuse Metagross-Mega, Victini, shiny
16:54:46 |html|<div class="message"><ul class="utilichart"><li class="result"><span class="col numcol">OU</span> <span class="col iconcol"><span style="background:transparent url(https://play.pokemonshowdown.com/sprites/smicons-sheet.png?a1) no-repeat scroll -40px -2520px"></span></span> <span class="col pokemonnamecol" style="white-space:nowrap"><a href="https://pokemonshowdown.com/dex/pokemon/metagrossmega" target="_blank">Metagross-Mega</a></span> <span class="col typecol"><img src="https://play.pokemonshowdown.com/sprites/types/Steel.png" alt="Steel" height="14" width="32"><img src="https://play.pokemonshowdown.com/sprites/types/Fire.png" alt="Fire" height="14" width="32"></span> <span style="float:left;min-height:26px"><span class="col abilitycol">Tough Claws</span><span class="col twoabilitycol"><em>undefined<br /><b>Victory Star</b></em></span></span><span style="float:left;min-height:26px"><span class="col statcol"><em>HP</em><br />90</span> <span class="col statcol"><em>Atk</em><br />122</span> <span class="col statcol"><em>Def</em><br />125</span> <span class="col statcol"><em>SpA</em><br />102</span> <span class="col statcol"><em>SpD</em><br />105</span> <span class="col statcol"><em>Spe</em><br />105</span> <span class="col bstcol"><em>BST<br />649</em></span> </span></li><li style="clear:both"></li></ul></div>
16:54:46 |raw|<font size="1"><font color="#686868">Dex#:</font> 376&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 6&nbsp;|&ThickSpace;<font color="#686868">Height:</font> 2.5 m&nbsp;|&ThickSpace;<font color="#686868">Weight:</font> 473.45 kg <em>(120 BP)</em>&nbsp;|&ThickSpace;<font color="#686868">Dex Colour:</font> Blue&nbsp;|&ThickSpace;<font color="#686868">Does Not Evolve</font></font>
16:55:02 |c|%EchoGaia|hey metagrosstini mega looks nice too
16:55:11 |c|%EchoGaia|tough claws v create and bolt strike
16:55:15 |n| BBgun999|bbgun999
16:55:21 |c|$Ludicrousity|!fuse volcanion, bronzong
16:55:21 |html|<div class="message"><ul class="utilichart"><li class="result"><span class="col numcol">UU</span> <span class="col iconcol"><span style="background:transparent url(https://play.pokemonshowdown.com/sprites/smicons-sheet.png?a1) no-repeat scroll -40px -1800px"></span></span> <span class="col pokemonnamecol" style="white-space:nowrap"><a href="https://pokemonshowdown.com/dex/pokemon/volcanion" target="_blank">Volcanion</a></span> <span class="col typecol"><img src="https://play.pokemonshowdown.com/sprites/types/Fire.png" alt="Fire" height="14" width="32"><img src="https://play.pokemonshowdown.com/sprites/types/Steel.png" alt="Steel" height="14" width="32"></span> <span style="float:left;min-height:26px"><span class="col abilitycol">Water Absorb</span><span class="col twoabilitycol"><em>undefined<br /><b>Levitate</b></em></span></span><span style="float:left;min-height:26px"><span class="col statcol"><em>HP</em><br />73</span> <span class="col statcol"><em>Atk</em><br />99</span> <span class="col statcol"><em>Def</em><br />118</span> <span class="col statcol"><em>SpA</em><br />104</span> <span class="col statcol"><em>SpD</em><br />103</span> <span class="col statcol"><em>Spe</em><br />51</span> <span class="col bstcol"><em>BST<br />548</em></span> </span></li><li style="clear:both"></li></ul></div>
16:55:21 |raw|<font size="1"><font color="#686868">Dex#:</font> 721&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 6&nbsp;|&ThickSpace;<font color="#686868">Height:</font> 1.7 m&nbsp;|&ThickSpace;<font color="#686868">Weight:</font> 191 kg <em>(100 BP)</em>&nbsp;|&ThickSpace;<font color="#686868">Dex Colour:</font> Brown&nbsp;|&ThickSpace;<font color="#686868">Does Not Evolve</font></font>
16:55:23 |c|$Ludicrousity|lol
16:55:27 |c|%EchoGaia|mrh
16:55:35 |c|$Ludicrousity|Fire Steel and gets rid of 2 of it's weaknesses
16:55:37 |c|%EchoGaia|weak to fighting?
16:55:39 |c|$Ludicrousity|!weak fire steel
16:55:39 |html|<div class="infobox">Fire/Steel:<br /><span class="message-effect-weak">Weaknesses</span>: Fighting, <b>Ground</b>, Water<br /><span class="message-effect-resist">Resistances</span>: <b>Bug</b>, Dragon, <b>Fairy</b>, Flying, <b>Grass</b>, <b>Ice</b>, Normal, Psychic, <b>Steel</b><br /><span class="message-effect-immune">Immunities</span>: Poison</div>
16:55:46 |c|+UncleFlacco|still
16:55:47 |c|$Ludicrousity|only weak to fighting
16:55:48 |c|$Ludicrousity|lol
16:55:56 |c|%EchoGaia|fighting is pretty common tho
16:56:01 |c|$Ludicrousity|ehh
16:56:14 |c|$Ludicrousity|look at all the resists tho lol
16:56:19 |c| BBgun999|>Fighting, **Ground** , Water
16:56:37 |c|$Ludicrousity|?
16:57:05 |c| BBgun999|Precipitate blades, i win
16:57:13 |c| charizard8888|Fighting, Ground, Water <
16:57:14 |c|$Ludicrousity|no?
16:57:22 |c| charizard8888|Fighting, **Ground**, Water<
16:57:28 |c|$Ludicrousity|!dt percipice blades
16:57:28 No Pokémon, item, move, ability or nature named 'percipice blades' was found. Showing the data of 'Precipice Blades' instead.
|raw|<ul class="utilichart"><li class="result"><a data-entry="move|Precipice Blades"><span class="col movenamecol">Precipice Blades</span> <span class="col typecol"><img src="//play.pokemonshowdown.com/sprites/types/Ground.png" alt="Ground" width="32" height="14"><img src="//play.pokemonshowdown.com/sprites/categories/Physical.png" alt="Physical" width="32" height="14"></span> <span class="col labelcol"><em>Power</em><br>120</span> <span class="col widelabelcol"><em>Accuracy</em><br>85%</span> <span class="col pplabelcol"><em>PP</em><br>10</span> <span class="col movedesccol">No additional effect. Hits adjacent Pokemon.</span> </a></li><li style="clear:both"></li></ul>
|raw|<font size="1"><font color="#686868">Priority:</font> 0&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 6&nbsp;|&ThickSpace;<font color="#686868">Z-Power:</font> 190&nbsp;|&ThickSpace;<font color="#686868">Target:</font> All Adjacent Opponents</font>
16:57:38 |c|$Ludicrousity|still immune
16:57:45 |c|$Ludicrousity|Thousand Arrows on the other hand
16:57:57 |c|$Ludicrousity|Who runs Zygarde in FF, tbh
16:58:02 |c| BBgun999|This is op here.
16:58:06 |c| BBgun999|-eq
16:58:10 |c|$Ludicrousity|-eq
16:58:12 |c| BBgun999|O wait.
16:58:13 |c|$Ludicrousity|damnit
16:58:16 |n|@BBgun999|bbgun999
16:58:19 |c|@BBgun999|-eq
16:58:19 |html|<div class="infobox"><img src="https://ih1.redbubble.net/image.54130754.3852/flat,800x800,070,f.jpg" width=400 height=400></div>
16:58:20 |c|+UncleFlacco|zygarde wouldn't be a bad fuser I wouldn't think
16:58:31 |c|$Ludicrousity|I can usually do that lol
16:58:34 |c|%EchoGaia|!fuse zygarde, hippowdon
16:58:34 |html|<div class="message"><ul class="utilichart"><li class="result"><span class="col numcol">OU</span> <span class="col iconcol"><span style="background:transparent url(https://play.pokemonshowdown.com/sprites/smicons-sheet.png?a1) no-repeat scroll -400px -1770px"></span></span> <span class="col pokemonnamecol" style="white-space:nowrap"><a href="https://pokemonshowdown.com/dex/pokemon/zygarde" target="_blank">Zygarde</a></span> <span class="col typecol"><img src="https://play.pokemonshowdown.com/sprites/types/Dragon.png" alt="Dragon" height="14" width="32"><img src="https://play.pokemonshowdown.com/sprites/types/Ground.png" alt="Ground" height="14" width="32"></span> <span style="float:left;min-height:26px"><span class="col abilitycol">Aura Break</span><span class="col twoabilitycol"><em>Power Construct<br /><b>Sand Stream</b></em></span></span><span style="float:left;min-height:26px"><span class="col statcol"><em>HP</em><br />108</span> <span class="col statcol"><em>Atk</em><br />106</span> <span class="col statcol"><em>Def</em><br />119</span> <span class="col statcol"><em>SpA</em><br />74</span> <span class="col statcol"><em>SpD</em><br />83</span> <span class="col statcol"><em>Spe</em><br />71</span> <span class="col bstcol"><em>BST<br />561</em></span> </span></li><li style="clear:both"></li></ul></div>
16:58:34 |raw|<font size="1"><font color="#686868">Dex#:</font> 718&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 6&nbsp;|&ThickSpace;<font color="#686868">Height:</font> 5 m&nbsp;|&ThickSpace;<font color="#686868">Weight:</font> 302.5 kg <em>(120 BP)</em>&nbsp;|&ThickSpace;<font color="#686868">Dex Colour:</font> Green&nbsp;|&ThickSpace;<font color="#686868">Does Not Evolve</font></font>
16:58:40 |c|%EchoGaia|ehh
16:58:42 |c|$Ludicrousity|ehhh
16:58:48 |c|@BBgun999|>undefined gone
16:59:09 |c|$Ludicrousity|!fuse Shuckle, Tyranitar
16:59:09 |html|<div class="message"><ul class="utilichart"><li class="result"><span class="col numcol">New</span> <span class="col iconcol"><span style="background:transparent url(https://play.pokemonshowdown.com/sprites/smicons-sheet.png?a1) no-repeat scroll -360px -510px"></span></span> <span class="col pokemonnamecol" style="white-space:nowrap"><a href="https://pokemonshowdown.com/dex/pokemon/shuckle" target="_blank">Shuckle</a></span> <span class="col typecol"><img src="https://play.pokemonshowdown.com/sprites/types/Bug.png" alt="Bug" height="14" width="32"><img src="https://play.pokemonshowdown.com/sprites/types/Rock.png" alt="Rock" height="14" width="32"></span> <span style="float:left;min-height:26px"><span class="col twoabilitycol">Sturdy<br />Gluttony</span><span class="col twoabilitycol"><em>Contrary<br /><b>Sand Stream</b></em></span></span><span style="float:left;min-height:26px"><span class="col statcol"><em>HP</em><br />60</span> <span class="col statcol"><em>Atk</em><br />72</span> <span class="col statcol"><em>Def</em><br />170</span> <span class="col statcol"><em>SpA</em><br />52</span> <span class="col statcol"><em>SpD</em><br />165</span> <span class="col statcol"><em>Spe</em><br />33</span> <span class="col bstcol"><em>BST<br />552</em></span> </span></li><li style="clear:both"></li></ul></div>
16:59:09 |raw|<font size="1"><font color="#686868">Dex#:</font> 213&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 2&nbsp;|&ThickSpace;<font color="#686868">Height:</font> 0.6 m&nbsp;|&ThickSpace;<font color="#686868">Weight:</font> 111.25 kg <em>(100 BP)</em>&nbsp;|&ThickSpace;<font color="#686868">Dex Colour:</font> Yellow&nbsp;|&ThickSpace;<font color="#686868">Does Not Evolve</font></font>
16:59:19 |c|$Ludicrousity|Nice SpD, and Sand Stream lol
16:59:21 |c|+UncleFlacco|hella bulky
16:59:38 |c|$Ludicrousity|Now you can run Max HP, Max Def and have Sandstorm increase your SpD
16:59:41 |c|@BBgun999|!ds spd=150
16:59:41 |html|<div class="infobox">Aegislash, Carbink, Diancie, Goodra, Probopass, Registeel</div>
16:59:51 |c|+UncleFlacco|diancie man
16:59:58 |c|$Ludicrousity|!ds spd > 150
16:59:58 |html|<div class="infobox">Deoxys-Defense, Florges, Ho-Oh, Kyogre-Primal, Lugia, Regice, Shuckle</div>
17:00:07 |c|$Ludicrousity|!ds spd = 165
17:00:07 |html|<div class="infobox">No Pok&eacute;mon found.</div>
17:00:16 |c|$Ludicrousity|wow
17:00:16 |c| charizard8888|!ds Dragon Type,spd=150,gooey,sap sipper
17:00:16 |raw|<div class="message"><ul class="utilichart"><li class="result"><span class="col numcol">New</span> <span class="col iconcol"><span style="background:transparent url(https://play.pokemonshowdown.com/sprites/smicons-sheet.png?a1) no-repeat scroll -400px -1740px"></span></span> <span class="col pokemonnamecol" style="white-space:nowrap"><a href="https://pokemonshowdown.com/dex/pokemon/goodra" target="_blank">Goodra</a></span> <span class="col typecol"><img src="https://play.pokemonshowdown.com/sprites/types/Dragon.png" alt="Dragon" height="14" width="32"></span> <span style="float:left;min-height:26px"><span class="col twoabilitycol">Sap Sipper<br />Hydration</span><span class="col abilitycol"><em>Gooey</em></span></span><span style="float:left;min-height:26px"><span class="col statcol"><em>HP</em><br />90</span> <span class="col statcol"><em>Atk</em><br />100</span> <span class="col statcol"><em>Def</em><br />70</span> <span class="col statcol"><em>SpA</em><br />110</span> <span class="col statcol"><em>SpD</em><br />150</span> <span class="col statcol"><em>Spe</em><br />80</span> <span class="col bstcol"><em>BST<br />600</em></span> </span></li><li style="clear:both"></li></ul></div>
|raw|<font size="1"><font color="#686868">Dex#:</font> 706&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 6&nbsp;|&ThickSpace;<font color="#686868">Height:</font> 2 m&nbsp;|&ThickSpace;<font color="#686868">Weight:</font> 150.5 kg <em>(100 BP)</em>&nbsp;|&ThickSpace;<font color="#686868">Dex Colour:</font> Purple&nbsp;|&ThickSpace;<font color="#686868">Egg Group(s):</font> Dragon&nbsp;|&ThickSpace;<font color="#686868">Does Not Evolve</font></font>
17:00:17 |c| charizard8888|O:
17:00:24 |c|$Ludicrousity|Woah
17:00:31 |c|$Ludicrousity|never would have guessed that
17:00:33 |raw|<div class='chat'><small>$</small><button name='parseCommand' value='/user Ludicrousity' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#A43CC3'>Ludicrousity:</font></b></button><em class='mine'><img src="https://cdn.rawgit.com/CreaturePhil/dem-feels/master/emotes/xaa.png" title="xaa" width="50" height="50" /></em></div>
17:00:36 |raw|<div class='chat'><small> </small><button name='parseCommand' value='/user charizard8888' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#AE830F'>charizard8888:</font></b></button><em class='mine'><img src="https://cdn.rawgit.com/CreaturePhil/dem-feels/master/emotes/xaa.png" title="xaa" width="50" height="50" /></em></div>
17:00:37 |c|@BBgun999|Hmmm
17:00:41 |c|@BBgun999|Well played.
17:00:50 |c|%EchoGaia|shuckle ttar still lacks recovery thouh
17:00:57 |c|@BBgun999|!dt charizard-mega-x
